first_name;last_name;email;telephone
Octaviana;Gabor;Zaharia_Gheorghita@yahoo.com;021690084
Iustinian;Nagy;Antoaneta33@gmail.com;0363834689
Augustina;Manole;Arian.Ichim@hotmail.com;0336760146
Edmond;Badea;Ina85@hotmail.com;0256327271
Bogdan;Negoita;Dumitra.Niculae6@hotmail.com;0269151677
Nidia;Panait;Roza_Szasz@yahoo.com;0231519492
Gina;Dogaru;Petrica_Tanase@gmail.com;0361100314
Claudia;Oancea;Anaida71@yahoo.com;0361996227
Vera;Dumitrascu;Jeana.Aldea@yahoo.com;0351051035
Dumitrana;Stan;Raluca_Cojocaru56@gmail.com;0368683737
Octaviana;Gabor;Zaharia_Gheorghita@yahoo.com;021690084
Iustinian;Nagy;Antoaneta33@gmail.com;0363834689
Augustina;Manole;Arian.Ichim@hotmail.com;0336760146
Edmond;Badea;Ina85@hotmail.com;0256327271
Bogdan;Negoita;Dumitra.Niculae6@hotmail.com;0269151677
Nidia;Panait;Roza_Szasz@yahoo.com;0231519492
Gina;Dogaru;Petrica_Tanase@gmail.com;0361100314
Claudia;Oancea;Anaida71@yahoo.com;0361996227
Vera;Dumitrascu;Jeana.Aldea@yahoo.com;0351051035
Dumitrana;Stan;Raluca_Cojocaru56@gmail.com;0368683737
Octaviana;Gabor;Zaharia_Gheorghita@yahoo.com;021690084
Iustinian;Nagy;Antoaneta33@gmail.com;0363834689
Augustina;Manole;Arian.Ichim@hotmail.com;0336760146
Edmond;Badea;Ina85@hotmail.com;0256327271
Bogdan;Negoita;Dumitra.Niculae6@hotmail.com;0269151677
Nidia;Panait;Roza_Szasz@yahoo.com;0231519492
Gina;Dogaru;Petrica_Tanase@gmail.com;0361100314
Claudia;Oancea;Anaida71@yahoo.com;0361996227
Vera;Dumitrascu;Jeana.Aldea@yahoo.com;0351051035
Dumitrana;Stan;Raluca_Cojocaru56@gmail.com;0368683737
Octaviana;Gabor;Zaharia_Gheorghita@yahoo.com;021690084
Iustinian;Nagy;Antoaneta33@gmail.com;0363834689
Augustina;Manole;Arian.Ichim@hotmail.com;0336760146
Edmond;Badea;Ina85@hotmail.com;0256327271
Bogdan;Negoita;Dumitra.Niculae6@hotmail.com;0269151677
Nidia;Panait;Roza_Szasz@yahoo.com;0231519492
Gina;Dogaru;Petrica_Tanase@gmail.com;0361100314
Claudia;Oancea;Anaida71@yahoo.com;0361996227
Vera;Dumitrascu;Jeana.Aldea@yahoo.com;0351051035
Dumitrana;Stan;Raluca_Cojocaru56@gmail.com;0368683737
Octaviana;Gabor;Zaharia_Gheorghita@yahoo.com;021690084
Iustinian;Nagy;Antoaneta33@gmail.com;0363834689
Augustina;Manole;Arian.Ichim@hotmail.com;0336760146
Edmond;Badea;Ina85@hotmail.com;0256327271
Bogdan;Negoita;Dumitra.Niculae6@hotmail.com;0269151677
Nidia;Panait;Roza_Szasz@yahoo.com;0231519492
Gina;Dogaru;Petrica_Tanase@gmail.com;0361100314
Claudia;Oancea;Anaida71@yahoo.com;0361996227
Vera;Dumitrascu;Jeana.Aldea@yahoo.com;0351051035
Dumitrana;Stan;Raluca_Cojocaru56@gmail.com;0368683737
Octaviana;Gabor;Zaharia_Gheorghita@yahoo.com;021690084
Iustinian;Nagy;Antoaneta33@gmail.com;0363834689
Augustina;Manole;Arian.Ichim@hotmail.com;0336760146
Edmond;Badea;Ina85@hotmail.com;0256327271
Bogdan;Negoita;Dumitra.Niculae6@hotmail.com;0269151677
Nidia;Panait;Roza_Szasz@yahoo.com;0231519492
Gina;Dogaru;Petrica_Tanase@gmail.com;0361100314
Claudia;Oancea;Anaida71@yahoo.com;0361996227
Vera;Dumitrascu;Jeana.Aldea@yahoo.com;0351051035
Dumitrana;Stan;Raluca_Cojocaru56@gmail.com;0368683737
Octaviana;Gabor;Zaharia_Gheorghita@yahoo.com;021690084
Iustinian;Nagy;Antoaneta33@gmail.com;0363834689
Augustina;Manole;Arian.Ichim@hotmail.com;0336760146
Edmond;Badea;Ina85@hotmail.com;0256327271
Bogdan;Negoita;Dumitra.Niculae6@hotmail.com;0269151677
Nidia;Panait;Roza_Szasz@yahoo.com;0231519492
Gina;Dogaru;Petrica_Tanase@gmail.com;0361100314
Claudia;Oancea;Anaida71@yahoo.com;0361996227
Vera;Dumitrascu;Jeana.Aldea@yahoo.com;0351051035
Dumitrana;Stan;Raluca_Cojocaru56@gmail.com;0368683737
Octaviana;Gabor;Zaharia_Gheorghita@yahoo.com;021690084
Iustinian;Nagy;Antoaneta33@gmail.com;0363834689
Augustina;Manole;Arian.Ichim@hotmail.com;0336760146
Edmond;Badea;Ina85@hotmail.com;0256327271
Bogdan;Negoita;Dumitra.Niculae6@hotmail.com;0269151677
Nidia;Panait;Roza_Szasz@yahoo.com;0231519492
Gina;Dogaru;Petrica_Tanase@gmail.com;0361100314
Claudia;Oancea;Anaida71@yahoo.com;0361996227
Vera;Dumitrascu;Jeana.Aldea@yahoo.com;0351051035
Dumitrana;Stan;Raluca_Cojocaru56@gmail.com;0368683737
Octaviana;Gabor;Zaharia_Gheorghita@yahoo.com;021690084
Iustinian;Nagy;Antoaneta33@gmail.com;0363834689
Augustina;Manole;Arian.Ichim@hotmail.com;0336760146
Edmond;Badea;Ina85@hotmail.com;0256327271
Bogdan;Negoita;Dumitra.Niculae6@hotmail.com;0269151677
Nidia;Panait;Roza_Szasz@yahoo.com;0231519492
Gina;Dogaru;Petrica_Tanase@gmail.com;0361100314
Claudia;Oancea;Anaida71@yahoo.com;0361996227
